iter	Logloss
0	0.6602434705
1	0.6302458581
2	0.606189578
3	0.5851430664
4	0.5658385885
5	0.5498122246
6	0.5395805358
7	0.527385858
8	0.5158221247
9	0.5054627139
10	0.4959314738
11	0.4889006138
12	0.4811705684
13	0.4739999372
14	0.4668752283
15	0.4620888279
16	0.4565947327
17	0.4521242722
18	0.4480142226
19	0.4439758207
20	0.4410606664
21	0.4377954307
22	0.4351363877
23	0.4329152965
24	0.4305551646
25	0.4283143269
26	0.4258764185
27	0.424527738
28	0.4227516431
29	0.4208721457
30	0.4193560644
31	0.4181081584
32	0.4165242548
33	0.4155740193
34	0.4145777942
35	0.4133129248
36	0.4123766916
37	0.4111570213
38	0.4103793172
39	0.4091035457
40	0.408242795
41	0.4075500708
42	0.406592132
43	0.4064404469
44	0.4057804298
45	0.4047980832
46	0.4040400275
47	0.403447618
48	0.4026979054
49	0.4018100253
50	0.4013589325
51	0.4010409746
52	0.4004087252
53	0.4003158061
54	0.3996532539
55	0.3989159791
56	0.3984481085
57	0.3977612401
58	0.3973267716
59	0.3968790468
60	0.3965363369
61	0.3960530691
62	0.3958515343
63	0.3955308562
64	0.3953873363
65	0.3949623266
66	0.3949486293
67	0.3944028167
68	0.3939263135
69	0.3934453299
70	0.3931495855
71	0.3927404348
72	0.3926640583
73	0.3926424166
74	0.392455313
75	0.3920769642
76	0.3916444885
77	0.3913206448
78	0.3912541882
79	0.3912129703
80	0.390762717
81	0.3904486078
82	0.3902539698
83	0.3899686439
84	0.3897504192
85	0.3892426421
86	0.3891496463
87	0.3885051669
88	0.3883941147
89	0.3882131588
90	0.3880210821
91	0.3878598993
92	0.3876713975
93	0.3875255287
94	0.3873298619
95	0.387207135
96	0.3872031166
97	0.387037611
98	0.3870224023
99	0.386997354
100	0.3869223229
101	0.3866956862
102	0.3864886144
103	0.386394447
104	0.3863561307
105	0.3860353937
106	0.3860206213
107	0.3854463393
108	0.3852269286
109	0.3851283
110	0.3849674032
111	0.3847801281
112	0.3847530394
113	0.3844764063
114	0.3842502466
115	0.3839929154
116	0.3839031378
117	0.3838622014
118	0.3838376194
119	0.3838376122
120	0.383785886
121	0.383603566
122	0.3833591801
123	0.3830860001
124	0.3828629933
125	0.3828158748
126	0.382599986
127	0.3825290244
128	0.3824458112
129	0.3823359221
130	0.3822500472
131	0.3819797002
132	0.381873591
133	0.3818260992
134	0.3814837455
135	0.3814535172
136	0.381276153
137	0.3810944696
138	0.3810944675
139	0.3810523639
140	0.380715028
141	0.3807144856
142	0.3805648916
143	0.3805181791
144	0.3801505761
145	0.3801420194
146	0.3800717441
147	0.3800717405
148	0.3797868455
149	0.3797800315
150	0.379621676
151	0.3791792434
152	0.379179241
153	0.3787792198
154	0.3787089637
155	0.3786950962
156	0.3786297524
157	0.3783983324
158	0.3781147902
159	0.3779541919
160	0.3778463791
161	0.3777082899
162	0.3776311001
163	0.3776067376
164	0.377400774
165	0.3773262436
166	0.3770300588
167	0.3767288458
168	0.3767288157
169	0.3767236857
170	0.3765868394
171	0.3764734083
172	0.3762268804
173	0.3762264871
174	0.376226459
175	0.3761795568
176	0.3760242897
177	0.3757308958
178	0.3751208423
179	0.3751093157
180	0.375106074
181	0.3750297317
182	0.3748583928
183	0.3745824942
184	0.3744021863
185	0.3744010446
186	0.3739818884
187	0.3736854527
188	0.3735315054
189	0.37353058
190	0.3732280511
191	0.373226207
192	0.3730351916
193	0.3727214896
194	0.3724901853
195	0.3722956492
196	0.3720918766
197	0.3718769672
198	0.3713835639
199	0.3712241441
200	0.3711460131
201	0.3711187108
202	0.3708671883
203	0.3708671819
204	0.3706191365
205	0.3703588183
206	0.3700021534
207	0.3699588181
208	0.3694852481
209	0.3692319312
210	0.3686448156
211	0.3686447625
212	0.368629139
213	0.3682324148
214	0.368232414
215	0.3677416815
216	0.367485443
217	0.3673294944
218	0.3669609732
219	0.3667664554
220	0.3663923058
221	0.3659455026
222	0.3657486235
223	0.3654975292
224	0.3653443821
225	0.3650259366
226	0.3646525295
227	0.3640497072
228	0.3640497035
229	0.363832489
230	0.3635589357
231	0.3633885868
232	0.3632300674
233	0.3630700624
234	0.3627812848
235	0.362645015
236	0.3626429673
237	0.3626024129
238	0.3623717575
239	0.3621931483
240	0.3620957827
241	0.3619323547
242	0.3617550977
243	0.3615082987
244	0.3614147096
245	0.3612966181
246	0.3611784404
247	0.3609124053
248	0.3607876795
249	0.3605471012
250	0.360451567
251	0.360398037
252	0.3602639931
253	0.3600224855
254	0.3598888363
255	0.359809292
256	0.3596662024
257	0.359516263
258	0.3593472869
259	0.3593153618
260	0.3591014397
261	0.3588832023
262	0.3587058878
263	0.3585298264
264	0.3582107267
265	0.3579755135
266	0.3576933189
267	0.3575949621
268	0.3574241086
269	0.3569687132
270	0.3567588383
271	0.3565218369
272	0.3563191423
273	0.3560696091
274	0.3557732127
275	0.3556327891
276	0.3553788425
277	0.3553118014
278	0.3552418478
279	0.3549955449
280	0.3549340282
281	0.3548619338
282	0.3547376094
283	0.3545146361
284	0.354435817
285	0.3543738054
286	0.3540892096
287	0.3539822437
288	0.353815915
289	0.3536635275
290	0.3535875732
291	0.353447318
292	0.3533504781
293	0.3530864197
294	0.3528194282
295	0.3526186387
296	0.3525882089
297	0.3522917435
298	0.3521015045
299	0.352007251
